TreeDepth,Offset,Name
0,0xd88e3aa9a260,\\Windows\\SysWOW64\\DataExchange.dll
0,0xd88e3aa9a3f0,\\Windows\\System32\\sspicli.dll
0,0xd88e3aa9a580,\\Windows\\System32\\win32kbase.sys
0,0xd88e3aa9a710,\\pagefile.sys
0,0xd88e3aa9a8a0,\\swapfile.sys
0,0xd88e3aa9abc0,\\Windows\\System32\\basesrv.dll
0,0xd88e3aa9ad50,\\Windows\\System32\\drivers\\hidparse.sys
0,0xd88e3aa9aee0,\\Windows\\System32\\csrss.exe
0,0xd88e3aa9b200,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-CorruptedFileRecovery-Client%4Operational.evtx
0,0xd88e3aa9bb60,\\DumpStack.log.tmp
0,0xd88e3aa9be80,\\Windows\\System32\\win32kfull.sys
0,0xd88e3aa9c1a0,\\Windows\\System32\\win32k.sys
0,0xd88e3aa9c650,\\Windows\\System32\\en-US\\win32kbase.sys.mui
0,0xd88e3aa9c7e0,\\Windows\\System32
0,0xd88e3aa9c970,\\Windows\\System32\\csrsrv.dll
0,0xd88e3aa9cb00,\\$Directory
0,0xd88e3aa9d140,\\Sessions\\0\\AppContainerNamedObjects
0,0xd88e3aa9d460,\\Windows\\System32\\winsrvext.dll
0,0xd88e3aa9d910,\\Windows\\System32\\userenv.dll
0,0xd88e3aa9dc30,\\Windows\\System32\\winsrv.dll
0,0xd88e3aa9ddc0,\\Windows\\System32\\locale.nls
0,0xd88e3aafba20,\\Windows\\System32\\msctf.dll
0,0xd88e3aafbed0,\\Windows
0,0xd88e3aafc380,\\Windows\\System32\\config\\SYSTEM.LOG1
0,0xd88e3aafc6a0,\\Windows\\System32\\coml2.dll
0,0xd88e3aafc830,\\Windows\\System32\\clbcatq.dll
0,0xd88e3ab20500,\\Windows\\System32\\drivers\\afunix.sys
0,0xd88e3ab20670,\\Windows\\System32\\drivers\\tdi.sys
0,0xd88e3ab207e0,\\Windows\\System32\\drivers\\tdx.sys
0,0xd88e3ab217b0,\\Windows\\System32\\drivers\\vwififlt.sys
0,0xd88e3ab21c00,\\Windows\\System32\\drivers\\afd.sys
0,0xd88e3ab21ee0,\\Windows\\System32\\drivers\\ws2ifsl.sys
0,0xd88e3ab221c0,\\Windows\\System32\\drivers\\netbt.sys
0,0xd88e3ab23190,\\Windows\\System32\\drivers\\netbios.sys
0,0xd88e3ab23470,\\Windows\\System32\\drivers\\pacer.sys
0,0xd88e3ab2edb0,\\Windows\\System32\\drivers\\Vid.sys
0,0xd88e3ab2f090,\\Windows\\System32\\drivers\\winhvr.sys
0,0xd88e3ab2f370,\\Windows\\System32\\drivers\\nsiproxy.sys
0,0xd88e3ab304b0,\\Windows\\System32\\drivers\\mssmbios.sys
0,0xd88e3ab30620,\\Windows\\System32\\drivers\\npsvctrig.sys
0,0xd88e3ab30900,\\Windows\\System32\\drivers\\rdbss.sys
0,0xd88e3ab30a70,\\Windows\\System32\\drivers\\csc.sys
0,0xd88e3ab30d50,\\Windows\\System32\\drivers\\gpuenergydrv.sys
0,0xd88e3ab311a0,\\Windows\\System32\\drivers\\dfsc.sys
0,0xd88e3ab31e90,\\Windows\\System32\\drivers\\bam.sys
0,0xd88e3ab33140,\\Windows\\System32\\drivers\\ahcache.sys
0,0xd88e3ab33590,\\Windows\\System32\\drivers\\fastfat.sys
0,0xd88e3ab34110,\\$Directory
0,0xd88e3ab343f0,\\$Directory
0,0xd88e3ab34560,\\$Directory
0,0xd88e3ab346d0,\\$Directory
0,0xd88e3ab34840,\\$Directory
0,0xd88e3ab349b0,\\$Directory
0,0xd88e3ab34c90,\\Windows\\apppatch\\sysmain.sdb
0,0xd88e3ab34e00,\\$Directory
0,0xd88e3ab35250,\\$Directory
0,0xd88e3ab35530,\\$Directory
0,0xd88e3ab35810,\\$Directory
0,0xd88e3ab35dd0,\\$Directory
0,0xd88e3ab7f0c0,\\Windows\\System32\\bcryptprimitives.dll
0,0xd88e3ab7f700,\\Windows\\System32\\win32u.dll
0,0xd88e3ab7f890,\\Windows\\System32\\comctl32.dll
0,0xd88e3ab7fa20,\\Windows\\System32\\bcrypt.dll
0,0xd88e3ab801f0,\\Windows\\System32\\crypt32.dll
0,0xd88e3ab80380,\\Windows\\System32\\wintrust.dll
0,0xd88e3ab80830,\\Windows\\System32\\gdi32full.dll
0,0xd88e3ab80ce0,\\Windows\\System32\\msvcp_win.dll
0,0xd88e3ab80e70,\\Windows\\System32\\ucrtbase.dll
0,0xd88e3abd3230,\\$Directory
0,0xd88e3abd33a0,\\Windows\\System32\\drivers\\kdnic.sys
0,0xd88e3abd3960,\\$Directory
0,0xd88e3abd3c40,\\$Directory
0,0xd88e3abd4650,\\Windows\\bootstat.dat
0,0xd88e3abd5060,\\Windows\\System32\\DriverStore\\FileRepository\\compositebus.inf_amd64_7500cffa210c6946\\CompositeBus.sys
0,0xd88e3abd51d0,\\$Directory
0,0xd88e3abd5340,\\Windows\\System32\\smss.exe
0,0xd88e3abd54b0,\\Windows\\System32\\DriverStore\\FileRepository\\umbus.inf_amd64_b78a9c5b6fd62c27\\umbus.sys
0,0xd88e3abd61a0,\\Windows\\System32\\drivers\\kbdclass.sys
0,0xd88e3abd6bb0,\\Windows\\System32\\drivers\\mouclass.sys
0,0xd88e3abd7450,\\Windows\\System32\\drivers\\serenum.sys
0,0xd88e3abd7a10,\\Windows\\System32\\drivers\\vmmouse.sys
0,0xd88e3abd8140,\\Windows\\System32\\drivers\\i8042prt.sys
0,0xd88e3abd8420,\\$Directory
0,0xd88e3abd9110,\\Windows\\System32\\drivers\\serial.sys
0,0xd88e3abd9b20,\\Windows\\System32\\drivers\\e1i65x64.sys
0,0xd88e3abda6a0,\\Windows\\System32\\drivers\\vm3dmp_loader.sys
0,0xd88e3ac0c250,\\Windows\\System32\\nsi.dll
0,0xd88e3ac0c3e0,\\Windows\\System32\\psapi.dll
0,0xd88e3ac0c700,\\Windows\\System32\\msvcrt.dll
0,0xd88e3ac0ca20,\\Windows\\System32\\oleaut32.dll
0,0xd88e3ac0cbb0,\\Windows\\System32\\wow64win.dll
0,0xd88e3ac0ced0,\\Windows\\System32\\combase.dll
0,0xd88e3ac0d510,\\Windows\\System32\\advapi32.dll
0,0xd88e3ac0d830,\\Windows\\System32\\shlwapi.dll
0,0xd88e3ac0dce0,\\Windows\\System32\\Wldap32.dll
0,0xd88e3ac0de70,\\Windows\\System32\\ole32.dll
0,0xd88e3ac20680,\\Windows\\System32\\drivers\\vmgencounter.sys
0,0xd88e3ac20960,\\Windows\\System32\\drivers\\intelppm.sys
0,0xd88e3ac21090,\\Windows\\System32\\drivers\\CmBatt.sys
0,0xd88e3ac21200,\\Windows\\System32\\drivers\\battc.sys
0,0xd88e3ac214e0,\\Windows\\System32\\drivers\\NdisVirtualBus.sys
0,0xd88e3ac217c0,\\Windows\\System32\\DriverStore\\FileRepository\\swenum.inf_amd64_16a14542b63c02af\\swenum.sys
0,0xd88e3ac21c10,\\Windows\\System32\\drivers\\ks.sys
0,0xd88e3ac22340,\\Windows\\System32\\drivers\\rdpbus.sys
0,0xd88e3ac5d0c0,\\Windows\\System32\\imm32.dll
0,0xd88e3ac5d570,\\Windows\\System32\\comdlg32.dll
0,0xd88e3ac5d700,\\Windows\\System32\\normaliz.dll
0,0xd88e3ac5d890,\\Windows\\System32\\GdiPlus.dll
0,0xd88e3ac5da20,\\Windows\\System32\\difxapi.dll
0,0xd88e3ac5dbb0,\\Windows\\System32\\ws2_32.dll
0,0xd88e3ac5e1f0,\\Windows\\System32\\SHCore.dll
0,0xd88e3ac5e380,\\Windows\\System32\\imagehlp.dll
0,0xd88e3ac5e510,\\Windows\\System32\\rpcrt4.dll
0,0xd88e3ac5eb50,\\Windows\\System32\\user32.dll
0,0xd88e3ace8250,\\Windows\\SysWOW64\\normaliz.dll
0,0xd88e3ace8570,\\Windows\\SysWOW64\\coml2.dll
0,0xd88e3ace8700,\\Program Files (x86)\\Microsoft Office\\root\\Office16\\msproof7.dll
0,0xd88e3ace8a20,\\Windows\\SysWOW64\\msctf.dll
0,0xd88e3ace8bb0,\\Windows\\SysWOW64\\imm32.dll
0,0xd88e3ace96a0,\\Windows\\SysWOW64\\comdlg32.dll
0,0xd88e3ace9830,\\Windows\\SysWOW64\\difxapi.dll
0,0xd88e3ace9ce0,\\Users\\night01\\AppData\\Local\\Microsoft\\Windows\\INetCache\\Content.Word\\~WRS{349C4DEA-C999-4DC6-83A0-D93FC5855E66}.tmp
0,0xd88e3acea510,\\$Mft
0,0xd88e3aced1a0,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0xd88e3aced310,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0xd88e3aced480,\\$BitMap
0,0xd88e3aced5f0,\\$Secure:$SDS:$DATA
0,0xd88e3acedbb0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0xd88e3acedd20,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xd88e3acede90,\\$Mft::$BITMAP
0,0xd88e3acee170,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0xd88e3acee5c0,\\$LogFile
0,0xd88e3acee730,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd88e3aceea10,TxfLog
0,0xd88e3aceecf0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0xd88e3acef140,\\$Extend:$I30:$INDEX_ALLOCATION
0,0xd88e3acef2b0,\\$MftMirr
0,0xd88e3acef700,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0xd88e3acef9e0,\\:$I30:$INDEX_ALLOCATION
0,0xd88e3acefb50,\\$Extend\\$RmMetadata\\$Repair
0,0xd88e3acefcc0,\\:$I30:$INDEX_ALLOCATION
0,0xd88e3acf0110,\\$BitMap
0,0xd88e3acf0280,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd88e3acf03f0,\\$Mft::$BITMAP
0,0xd88e3acf0560,\\$MftMirr
0,0xd88e3acf06d0,\\Windows\\System32\\config\\TxR\\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms
0,0xd88e3acf0840,\\$Extend:$I30:$INDEX_ALLOCATION
0,0xd88e3acf10e0,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd88e3acf1250,\\$Mft
0,0xd88e3acf1810,KtmLog
0,0xd88e3acf1980,\\$LogFile
0,0xd88e3acf1c60,\\$Secure:$SDS:$DATA
0,0xd88e3acf1dd0,\\$Secure:$SII:$INDEX_ALLOCATION
0,0xd88e3acf50c0,\\Windows\\System32\\gdi32.dll
0,0xd88e3acf5250,\\Windows\\System32\\cfgmgr32.dll
0,0xd88e3acf5570,\\Windows\\System32\\KernelBase.dll
0,0xd88e3acf5890,\\Windows\\System32\\shell32.dll
0,0xd88e3acf5d40,\\Windows\\System32\\kernel32.dll
0,0xd88e3acf61f0,\\Windows\\System32\\wow64.dll
0,0xd88e3acf6380,\\Windows\\System32\\wow64cpu.dll
0,0xd88e3acf66a0,\\Windows\\System32\\sechost.dll
0,0xd88e3acf69c0,\\Windows\\System32\\setupapi.dll
0,0xd88e3acfe0c0,\\Windows\\SysWOW64\\kernel32.dll
0,0xd88e3acfe570,\\Windows\\SysWOW64\\win32u.dll
0,0xd88e3acfea20,\\Windows\\SysWOW64\\shlwapi.dll
0,0xd88e3acfed40,\\Windows\\SysWOW64\\psapi.dll
0,0xd88e3acfeed0,\\Users\\night01\\AppData\\LocalLow\\Adobe\\Acrobat\\DC\\Acrobat\\Eureka\\AcroCoreSync\\Adobe\\CoreSync\\EntitySync\\80307f885d209ff3421f3adf000d6b1e.db-wal
0,0xd88e3acff1f0,\\Windows\\SysWOW64\\comctl32.dll
0,0xd88e3acff510,\\Windows\\SysWOW64\\advapi32.dll
0,0xd88e3acff6a0,\\Windows\\SysWOW64\\gdi32.dll
0,0xd88e3acff830,\\Windows\\SysWOW64\\gdi32full.dll
0,0xd88e3acff9c0,\\com.adobe.acrobat.rna.night01.DC.0
0,0xd88e3acffe70,\\$CachedWriteThrough
0,0xd88e3ad13250,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Troubleshooting-Recommended%4Operational.evtx
0,0xd88e3ad133e0,\\Windows\\SysWOW64\\setupapi.dll
0,0xd88e3ad13890,\\$Directory
0,0xd88e3ad13a20,\\Windows\\SysWOW64\\bcrypt.dll
0,0xd88e3ad13d40,\\Windows\\SysWOW64\\Wldap32.dll
0,0xd88e3ad13ed0,\\Windows\\SysWOW64\\msvcp_win.dll
0,0xd88e3ad141f0,\\Users\\night01\\AppData\\Local\\Microsoft\\Windows\\Explorer\\thumbcache_256.db
0,0xd88e3ad14510,\\Windows\\SysWOW64\\combase.dll
0,0xd88e3ad146a0,\\Windows\\SysWOW64\\shell32.dll
0,0xd88e3ad14b50,\\Windows\\SysWOW64\\msvcrt.dll
0,0xd88e3ad14e70,\\Windows\\SysWOW64\\imagehlp.dll
0,0xd88e3af060d0,\\Windows\\SysWOW64\\ucrtbase.dll
0,0xd88e3af063f0,\\Windows\\SysWOW64\\KernelBase.dll
0,0xd88e3af068a0,\\Windows\\SysWOW64\\crypt32.dll
0,0xd88e3af06a30,\\Windows\\SysWOW64\\rpcrt4.dll
0,0xd88e3af06d50,\\Endpoint
0,0xd88e3af06ee0,\\Windows\\SysWOW64\\ws2_32.dll
0,0xd88e3af07200,\\Windows\\SysWOW64\\ole32.dll
0,0xd88e3af07390,\\Windows\\WinSxS\\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.19041.4597_none_91a78020cc854124
0,0xd88e3af07520,\\Windows\\SysWOW64\\cfgmgr32.dll
0,0xd88e3af07e80,\\Windows\\SysWOW64\\GdiPlus.dll
0,0xd88e3af081a0,\\Users\\night01\\AppData\\Local\\Temp\\acrobat_sbx\\NGL\\NGLClient_AcrobatReader124.3.20180.6.log
0,0xd88e3af081a0,\\Users\\night01\\AppData\\Local\\Temp\\acrobat_sbx\\NGL\\NGLClient_AcrobatReader124.3.20180.6.log
0,0xd88e3af08650,\\Windows\\SysWOW64\\sechost.dll
0,0xd88e3af08b00,\\Windows\\SysWOW64\\SHCore.dll
0,0xd88e3af08c90,\\Windows\\SysWOW64\\clbcatq.dll
0,0xd88e3af08e20,\\Windows\\SysWOW64\\bcryptprimitives.dll
0,0xd88e3af09140,\\Program Files\\Adobe\\Acrobat DC\\Acrobat\\plug_ins\\Annots.api
0,0xd88e3af09780,\\Windows\\SysWOW64\\oleaut32.dll
0,0xd88e3af09c30,\\Windows\\SysWOW64\\nsi.dll
0,0xd88e3affb260,\\ProtectedPrefix
0,0xd88e3affb3f0,\\ProtectedPrefix\\LocalService
0,0xd88e3affb710,\\Sessions
0,0xd88e3affb8a0,\\:$I30:$INDEX_ALLOCATION
0,0xd88e3affba30,\\:$I30:$INDEX_ALLOCATION
0,0xd88e3affbbc0,\\Windows\\SysWOW64\\user32.dll
0,0xd88e3affbd50,\\ProtectedPrefix\\NetWorkService
0,0xd88e3affbee0,\\ProtectedPrefix\\LocalService
0,0xd88e3affc390,\\srvsvc
0,0xd88e3affc520,\\Windows\\System32\\config\\SOFTWARE
0,0xd88e3affc6b0,\\Windows\\SysWOW64\\wintrust.dll
0,0xd88e3affc840,\\Windows\\bootstat.dat
0,0xd88e3affc9d0,\\$Directory
0,0xd88e3affce80,\\Windows\\System32\\config\\SOFTWARE.LOG1
0,0xd88e3affd1a0,\\ProtectedPrefix\\Administrators
0,0xd88e3affd4c0,\\ProtectedPrefix\\Administrators
0,0xd88e3affd650,\\Windows\\System32\\gpsvc.dll
0,0xd88e3affd7e0,\\ProtectedPrefix
0,0xd88e3affd970,\\ProtectedPrefix\\NetWorkService
0,0xd88e3affdc90,\\Windows\\System32\\config\\SYSTEM
0,0xd88e3affde20,\\Windows\\System32\\config\\SYSTEM.LOG2
0,0xd88e3affe460,\\Program Files (x86)\\Microsoft Office\\root\\Office16\\AugLoop\\bundle.js
0,0xd88e3affe5f0,\\$Directory
0,0xd88e3affe780,\\$Directory
0,0xd88e3affeaa0,\\$Directory
0,0xd88e3affedc0,\\Windows\\System32\\config\\SOFTWARE.LOG2
0,0xd88e3d1870c0,\\Windows\\System32\\LogFiles\\WMI\\NetCore.etl
0,0xd88e3d187230,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0xd88e3d187680,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0xd88e3d1877f0,\\Device\\HarddiskVolume5\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd88e3d187960,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0xd88e3d187c40,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0xd88e3d187db0,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTDefenderAuditLogger.etl
0,0xd88e3d188200,KtmLog
0,0xd88e3d188370,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0xd88e3d1887c0,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTDefenderApiLogger.etl
0,0xd88e3d188930,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTEventlog-Security.etl
0,0xd88e3d188aa0,\\$Extend\\$RmMetadata\\$Repair
0,0xd88e3d188d80,TxfLog
0,0xd88e3d189060,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0xd88e3d1891d0,\\Device\\HarddiskVolume5\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd88e3d189340,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTDiagLog.etl
0,0xd88e3d1894b0,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTEventLog-Application.etl
0,0xd88e3d189790,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xd88e3d189900,\\Device\\HarddiskVolume5\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xd88e3d189a70,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTEventLog-System.etl
0,0xd88e3d189be0,\\Windows\\System32\\LogFiles\\WMI\\LwtNetLog.etl
0,0xd88e3d189d50,\\Windows\\System32\\LogFiles\\WMI\\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl
0,0xd88e3d189ec0,\\Windows\\System32\\LogFiles\\WMI\\NtfsLog.etl
0,0xd88e3d18a1a0,\\Windows\\System32\\WDI\\LogFiles\\WdiContextLog.etl.002
0,0xd88e3d18a480,\\Windows\\System32\\LogFiles\\WMI\\RadioMgr.etl
0,0xd88e3d18a5f0,\\$Directory
0,0xd88e3d18a8d0,\\$Secure:$SDH:$INDEX_ALLOCATION
0,0xd88e3d18aa40,\\Windows\\System32\\LogFiles\\WMI\\Wifi.etl
0,0xd88e3d18abb0,\\$Directory
0,0xd88e3d18b170,\\$MapAttributeValue
0,0xd88e3d18b2e0,\\$Directory
0,0xd88e3d18b450,\\$Directory
0,0xd88e3d18b8a0,\\$Directory
0,0xd88e3d18bb80,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTUBPM.etl
0,0xd88e3d18ce30,\\SystemRoot\\System32\\Config\\TxR\\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM
0,0xd88e3d18d110,\\Windows\\System32\\config\\TxR\\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM.blf
0,0xd88e3d18e0e0,\\Windows\\System32\\drivers\\monitor.sys
0,0xd88e3d18e530,\\$Directory
0,0xd88e3d18edd0,\\Windows\\System32\\config\\TxR\\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms
0,0xd88e3d2d83f0,
0,0xd88e3d2d88a0,\\CMApi
0,0xd88e3d2d8a30,\\Windows\\System32\\en-US\\winsrv.dll.mui
0,0xd88e3d2d8d50,\\Windows\\System32\\en-US\\user32.dll.mui
0,0xd88e3d2d8ee0,\\Windows\\System32\\KBDUS.DLL
0,0xd88e3d2d9390,\\Windows\\Registration\\R00000000000d.clb
0,0xd88e3d2d9520,\\Windows\\System32\\config\\DEFAULT.LOG1
0,0xd88e3d2d96b0,\\CMApi
0,0xd88e3d2d99d0,\\Windows\\System32\\en-US\\csrss.exe.mui
0,0xd88e3d2d9b60,\\Windows\\System32
0,0xd88e3d2d9cf0,\\$Directory
0,0xd88e3d2d9e80,\\Windows\\System32\\ClipboardServer.dll
0,0xd88e3d2da4c0,\\Windows\\System32\\config\\DEFAULT.LOG2
0,0xd88e3d2da650,\\Windows\\System32\\drivers\\dxgmms1.sys
0,0xd88e3d2da7e0,\\Windows\\System32\\config\\DEFAULT
0,0xd88e3d2da970,\\Windows\\System32\\csrss.exe
0,0xd88e3d2dac90,\\$Directory
0,0xd88e3d2dae20,\\Windows\\System32\\wininitext.dll
0,0xd88e3d2db2d0,\\Windows\\Fonts\\ARIALNBI.TTF
0,0xd88e3d2db460,
0,0xd88e3d2db5f0,\\$CachedWriteThrough
0,0xd88e3d2db910,
0,0xd88e3d2dbaa0,\\Windows\\
0,0xd88e3d2dc8a0,\\Windows\\System32\\en-US\\user32.dll.mui
0,0xd88e3d2dd390,\\Windows\\System32\\wininit.exe
0,0xd88e3d2dd520,\\Windows\\System32
0,0xd88e3d2ddb60,
0,0xd88e3d2dde80,\\$ConvertToNonresident
0,0xd88e3d2de1a0,\\Windows\\System32\\drivers\\dxgmms2.sys
0,0xd88e3d2de4c0,\\Windows\\System32\\profapi.dll
0,0xd88e3d2de650,\\Sessions\\1\\AppContainerNamedObjects
0,0xd88e3d2de970,\\Windows\\System32\\sxssrv.dll
0,0xd88e3d2dec90,\\Windows\\System32\\cdd.dll
0,0xd88e3d2df460,\\Users\\night01\\Desktop\\Working
0,0xd88e3d2df5f0,\\Users\\night01\\AppData\\Local\\Microsoft\\Windows\\INetCache\\Content.Word\\~WRS{994C1094-E52B-4FEA-94A0-A75577C252D6}.tmp
0,0xd88e3d2df780,\\Users\\night01\\AppData\\Local\\Packages\\Microsoft.Windows.Search_cw5n1h2txyewy\\LocalState\\AppIconCache\\175\\Microsoft_Windows_ControlPanel
0,0xd88e3d2df910,\\Windows\\System32\\en-US\\Conhost.exe.mui
0,0xd88e3d2dfaa0,\\$ConvertToNonresident
0,0xd88e3d2dfc30,\\$CachedWriteThrough
0,0xd88e3d2dfdc0,\\Users\\night01\\AppData\\Local\\Packages\\Microsoft.Windows.Search_cw5n1h2txyewy\\LocalState\\AppIconCache\\175\\Microsoft_WindowsCalculator_8wekyb3d8bbwe!App
0,0xd88e3db6db40,\\$ConvertToNonresident
0,0xd88e3db6e3e0,\\$ConvertToNonresident
0,0xd88e3e269270,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-TerminalServices-RemoteConnectionManager%4Operational.evtx
0,0xd88e3e269720,\\Windows\\System32\\sxs.dll
